user,recommendations
3997,"[Row(movie=2765, rating=8.267412185668945), Row(movie=310, rating=8.23843002319336), Row(movie=2219, rating=8.15572738647461), Row(movie=630, rating=7.973708152770996), Row(movie=3413, rating=7.835597038269043), Row(movie=3116, rating=7.670436382293701), Row(movie=1436, rating=7.514617919921875), Row(movie=2785, rating=7.362826824188232), Row(movie=3382, rating=7.285408020019531), Row(movie=2342, rating=7.145686149597168)]"
1829,"[Row(movie=2192, rating=11.872881889343262), Row(movie=2562, rating=9.188121795654297), Row(movie=2342, rating=9.117532730102539), Row(movie=2800, rating=8.57585334777832), Row(movie=2825, rating=8.094629287719727), Row(movie=874, rating=7.860198497772217), Row(movie=1144, rating=7.753233909606934), Row(movie=3382, rating=7.709928035736084), Row(movie=1138, rating=7.389642715454102), Row(movie=3333, rating=7.373550891876221)]"
1959,"[Row(movie=557, rating=8.442424774169922), Row(movie=3382, rating=7.655384063720703), Row(movie=1149, rating=6.203807830810547), Row(movie=980, rating=6.2027482986450195), Row(movie=729, rating=6.139782905578613), Row(movie=310, rating=5.991568088531494), Row(movie=3533, rating=5.785330772399902), Row(movie=2562, rating=5.73025369644165), Row(movie=3542, rating=5.724489212036133), Row(movie=3800, rating=5.647152423858643)]"
2659,"[Row(movie=557, rating=7.359496593475342), Row(movie=3533, rating=7.141580104827881), Row(movie=980, rating=7.11994743347168), Row(movie=729, rating=6.991957187652588), Row(movie=2538, rating=6.759457588195801), Row(movie=3382, rating=6.549449920654297), Row(movie=1149, rating=6.355313301086426), Row(movie=2512, rating=6.320720672607422), Row(movie=1570, rating=6.2931084632873535), Row(movie=2850, rating=6.228934288024902)]"
3749,"[Row(movie=2562, rating=8.033658981323242), Row(movie=557, rating=7.883674621582031), Row(movie=3382, rating=7.6292009353637695), Row(movie=310, rating=6.78407096862793), Row(movie=583, rating=6.180481910705566), Row(movie=2800, rating=6.178768157958984), Row(movie=2192, rating=6.1328020095825195), Row(movie=666, rating=6.126376152038574), Row(movie=1795, rating=6.097879409790039), Row(movie=2825, rating=6.091305732727051)]"
4519,"[Row(movie=1570, rating=8.92650318145752), Row(movie=1539, rating=8.449539184570312), Row(movie=729, rating=7.950558662414551), Row(movie=2964, rating=7.846391201019287), Row(movie=557, rating=7.7167253494262695), Row(movie=3533, rating=7.486021041870117), Row(movie=632, rating=7.429444313049316), Row(movie=3892, rating=7.352927207946777), Row(movie=2209, rating=7.235016345977783), Row(movie=3413, rating=7.04674768447876)]"
471,"[Row(movie=980, rating=10.30018138885498), Row(movie=2760, rating=9.059774398803711), Row(movie=729, rating=7.2546563148498535), Row(movie=557, rating=7.060190200805664), Row(movie=2705, rating=7.002926826477051), Row(movie=3636, rating=6.89898681640625), Row(movie=2964, rating=6.772687911987305), Row(movie=1553, rating=6.346555709838867), Row(movie=3778, rating=6.344999313354492), Row(movie=1570, rating=6.248496055603027)]"
1591,"[Row(movie=557, rating=8.84512710571289), Row(movie=3382, rating=8.273741722106934), Row(movie=2192, rating=6.484818458557129), Row(movie=1149, rating=6.264401912689209), Row(movie=310, rating=6.196144104003906), Row(movie=3533, rating=6.134140968322754), Row(movie=2219, rating=6.127626895904541), Row(movie=1138, rating=6.118063926696777), Row(movie=3542, rating=5.824679374694824), Row(movie=2538, rating=5.792575359344482)]"
4101,"[Row(movie=1539, rating=8.629261016845703), Row(movie=310, rating=7.8955607414245605), Row(movie=3413, rating=7.691591739654541), Row(movie=853, rating=7.561651706695557), Row(movie=1651, rating=7.51845645904541), Row(movie=1659, rating=7.2382121086120605), Row(movie=2209, rating=6.795750141143799), Row(movie=1899, rating=6.0095014572143555), Row(movie=1570, rating=5.944878578186035), Row(movie=557, rating=5.896821022033691)]"
463,"[Row(movie=310, rating=6.875985145568848), Row(movie=980, rating=6.731804847717285), Row(movie=2705, rating=6.702118873596191), Row(movie=2825, rating=6.433454513549805), Row(movie=557, rating=6.2940216064453125), Row(movie=2760, rating=6.008141994476318), Row(movie=3382, rating=5.63729190826416), Row(movie=2673, rating=5.4875946044921875), Row(movie=844, rating=5.021454334259033), Row(movie=2309, rating=4.949498176574707)]"
833,"[Row(movie=2192, rating=11.49190902709961), Row(movie=1138, rating=11.08810806274414), Row(movie=2219, rating=11.076888084411621), Row(movie=2209, rating=10.459953308105469), Row(movie=3533, rating=10.399033546447754), Row(movie=874, rating=10.359493255615234), Row(movie=3892, rating=10.347393989562988), Row(movie=811, rating=10.038354873657227), Row(movie=1570, rating=9.98714828491211), Row(movie=2691, rating=9.9174222946167)]"
5803,"[Row(movie=2760, rating=21.116741180419922), Row(movie=980, rating=15.857414245605469), Row(movie=2962, rating=14.232110977172852), Row(movie=310, rating=13.427566528320312), Row(movie=2705, rating=12.928081512451172), Row(movie=2602, rating=12.72374439239502), Row(movie=503, rating=11.239998817443848), Row(movie=887, rating=10.612110137939453), Row(movie=2675, rating=10.424020767211914), Row(movie=1651, rating=10.366864204406738)]"
3794,"[Row(movie=310, rating=9.799995422363281), Row(movie=2964, rating=8.321001052856445), Row(movie=1651, rating=7.630733013153076), Row(movie=980, rating=7.581699371337891), Row(movie=853, rating=7.157129287719727), Row(movie=1864, rating=6.966006278991699), Row(movie=2209, rating=6.646378993988037), Row(movie=557, rating=6.348182678222656), Row(movie=1574, rating=6.307223320007324), Row(movie=1039, rating=6.079312324523926)]"
1645,"[Row(movie=557, rating=8.599043846130371), Row(movie=2892, rating=8.302197456359863), Row(movie=2342, rating=8.223388671875), Row(movie=2219, rating=8.174957275390625), Row(movie=3413, rating=8.089460372924805), Row(movie=3382, rating=7.8614606857299805), Row(movie=2127, rating=7.781944274902344), Row(movie=1891, rating=7.509655952453613), Row(movie=2197, rating=7.506387710571289), Row(movie=630, rating=7.467611312866211)]"
3175,"[Row(movie=2825, rating=10.059818267822266), Row(movie=2192, rating=9.65564250946045), Row(movie=1138, rating=7.741371154785156), Row(movie=557, rating=7.5901336669921875), Row(movie=3382, rating=7.542021751403809), Row(movie=2800, rating=7.285317420959473), Row(movie=2562, rating=7.2022624015808105), Row(movie=2503, rating=6.037356376647949), Row(movie=2765, rating=5.997971534729004), Row(movie=3140, rating=5.971637725830078)]"
4935,"[Row(movie=2562, rating=7.675960063934326), Row(movie=2129, rating=7.39405632019043), Row(movie=2760, rating=7.387871742248535), Row(movie=980, rating=6.831808090209961), Row(movie=2705, rating=6.311764717102051), Row(movie=557, rating=6.261915683746338), Row(movie=2825, rating=6.157576084136963), Row(movie=2850, rating=6.0880889892578125), Row(movie=1795, rating=6.00769567489624), Row(movie=1002, rating=5.89294958114624)]"
148,"[Row(movie=2984, rating=8.204035758972168), Row(movie=2342, rating=8.183570861816406), Row(movie=557, rating=7.641971111297607), Row(movie=3413, rating=7.550938129425049), Row(movie=630, rating=7.5276689529418945), Row(movie=3382, rating=7.489271640777588), Row(movie=2219, rating=7.389456748962402), Row(movie=1436, rating=7.190250873565674), Row(movie=310, rating=6.84637451171875), Row(movie=2197, rating=6.838297367095947)]"
1088,"[Row(movie=557, rating=7.24530553817749), Row(movie=3382, rating=6.470589637756348), Row(movie=310, rating=5.995279312133789), Row(movie=980, rating=5.849916458129883), Row(movie=729, rating=5.357987403869629), Row(movie=1570, rating=5.2787017822265625), Row(movie=3533, rating=5.1711201667785645), Row(movie=1149, rating=4.991909027099609), Row(movie=3542, rating=4.931466102600098), Row(movie=3245, rating=4.913244724273682)]"
1238,"[Row(movie=2192, rating=8.518106460571289), Row(movie=557, rating=7.173530101776123), Row(movie=3382, rating=7.089766979217529), Row(movie=2825, rating=6.921136379241943), Row(movie=1138, rating=6.786298751831055), Row(movie=2562, rating=6.468136310577393), Row(movie=2800, rating=6.405957221984863), Row(movie=874, rating=6.270488739013672), Row(movie=2538, rating=5.929728031158447), Row(movie=2219, rating=5.723052024841309)]"
3918,"[Row(movie=2964, rating=11.545548439025879), Row(movie=980, rating=10.959517478942871), Row(movie=1570, rating=9.832771301269531), Row(movie=3533, rating=9.434906005859375), Row(movie=567, rating=8.997235298156738), Row(movie=2825, rating=8.953638076782227), Row(movie=1864, rating=8.782806396484375), Row(movie=2930, rating=8.608503341674805), Row(movie=844, rating=8.474421501159668), Row(movie=2209, rating=8.087461471557617)]"
4818,"[Row(movie=2760, rating=10.658966064453125), Row(movie=980, rating=10.104353904724121), Row(movie=2850, rating=7.948407173156738), Row(movie=729, rating=7.871588706970215), Row(movie=1664, rating=7.82902193069458), Row(movie=2892, rating=7.609269618988037), Row(movie=3636, rating=7.369829177856445), Row(movie=2129, rating=7.198099136352539), Row(movie=557, rating=7.047187805175781), Row(movie=1567, rating=7.023284912109375)]"
5518,"[Row(movie=557, rating=8.025853157043457), Row(movie=3382, rating=7.635263919830322), Row(movie=2219, rating=7.503481864929199), Row(movie=2342, rating=7.21265983581543), Row(movie=3413, rating=6.805478572845459), Row(movie=630, rating=6.629775047302246), Row(movie=2197, rating=6.522049903869629), Row(movie=874, rating=6.106933116912842), Row(movie=2984, rating=5.960073947906494), Row(movie=3517, rating=5.842703342437744)]"
1721,"[Row(movie=557, rating=5.828111171722412), Row(movie=729, rating=5.373118877410889), Row(movie=3382, rating=5.210536479949951), Row(movie=2538, rating=5.171633243560791), Row(movie=3533, rating=5.024321556091309), Row(movie=1149, rating=4.803740501403809), Row(movie=2892, rating=4.767347812652588), Row(movie=2512, rating=4.652281284332275), Row(movie=2850, rating=4.596147537231445), Row(movie=136, rating=4.584585666656494)]"
2811,"[Row(movie=2192, rating=6.600329399108887), Row(movie=557, rating=6.5867533683776855), Row(movie=3382, rating=6.260214805603027), Row(movie=2825, rating=6.068228244781494), Row(movie=1138, rating=5.846371173858643), Row(movie=2562, rating=5.5081658363342285), Row(movie=3533, rating=5.423832893371582), Row(movie=2538, rating=5.26190185546875), Row(movie=2800, rating=5.230226039886475), Row(movie=1149, rating=5.19266414642334)]"
4161,"[Row(movie=2825, rating=8.711198806762695), Row(movie=2705, rating=6.701849937438965), Row(movie=2192, rating=6.348172664642334), Row(movie=2562, rating=6.22432804107666), Row(movie=557, rating=6.078162670135498), Row(movie=3382, rating=5.796726703643799), Row(movie=2673, rating=5.638585090637207), Row(movie=2962, rating=5.546397686004639), Row(movie=1138, rating=5.479311943054199), Row(movie=2800, rating=5.42515754699707)]"
392,"[Row(movie=310, rating=8.313007354736328), Row(movie=557, rating=7.162510871887207), Row(movie=3382, rating=6.367963790893555), Row(movie=2760, rating=6.336294174194336), Row(movie=980, rating=5.925775527954102), Row(movie=1651, rating=5.63542366027832), Row(movie=853, rating=5.546550750732422), Row(movie=1039, rating=5.461047172546387), Row(movie=2705, rating=5.376174449920654), Row(movie=2309, rating=5.222144603729248)]"
1522,"[Row(movie=310, rating=8.270501136779785), Row(movie=2825, rating=7.698093414306641), Row(movie=557, rating=7.023664951324463), Row(movie=3382, rating=6.837760925292969), Row(movie=2765, rating=6.775330543518066), Row(movie=2192, rating=6.224170207977295), Row(movie=1039, rating=5.920830726623535), Row(movie=2679, rating=5.877537727355957), Row(movie=2705, rating=5.702552318572998), Row(movie=1743, rating=5.599277973175049)]"
243,"[Row(movie=980, rating=10.717390060424805), Row(movie=729, rating=8.623770713806152), Row(movie=2964, rating=8.489677429199219), Row(movie=2760, rating=8.316751480102539), Row(movie=3636, rating=8.217273712158203), Row(movie=1570, rating=7.609360694885254), Row(movie=2892, rating=7.151843547821045), Row(movie=1553, rating=6.94252872467041), Row(movie=3533, rating=6.573603630065918), Row(movie=3778, rating=6.446634769439697)]"
623,"[Row(movie=310, rating=8.436919212341309), Row(movie=557, rating=8.024242401123047), Row(movie=3382, rating=7.483057975769043), Row(movie=2760, rating=7.001814842224121), Row(movie=2562, rating=6.671026229858398), Row(movie=2705, rating=6.594337463378906), Row(movie=106, rating=6.458003997802734), Row(movie=751, rating=5.98875617980957), Row(movie=1795, rating=5.918816089630127), Row(movie=2825, rating=5.7681732177734375)]"
1483,"[Row(movie=980, rating=11.477773666381836), Row(movie=2760, rating=9.577154159545898), Row(movie=729, rating=9.165016174316406), Row(movie=3636, rating=8.898458480834961), Row(movie=2892, rating=8.655725479125977), Row(movie=2850, rating=8.531929016113281), Row(movie=1553, rating=7.591971397399902), Row(movie=136, rating=7.329059600830078), Row(movie=2964, rating=7.324265956878662), Row(movie=1664, rating=7.289203643798828)]"
2563,"[Row(movie=3413, rating=6.225446701049805), Row(movie=310, rating=5.92753791809082), Row(movie=557, rating=5.8543548583984375), Row(movie=1659, rating=5.457387924194336), Row(movie=853, rating=5.437032222747803), Row(movie=1539, rating=5.3323974609375), Row(movie=3382, rating=5.256763935089111), Row(movie=1651, rating=5.185079097747803), Row(movie=2219, rating=5.16903018951416), Row(movie=3517, rating=4.869553565979004)]"
1084,"[Row(movie=2964, rating=7.524450778961182), Row(movie=980, rating=7.324875831604004), Row(movie=310, rating=6.790708541870117), Row(movie=1570, rating=6.126291275024414), Row(movie=557, rating=5.840218544006348), Row(movie=1651, rating=5.703433513641357), Row(movie=1539, rating=5.623349666595459), Row(movie=1574, rating=5.557247638702393), Row(movie=2209, rating=5.472052574157715), Row(movie=1864, rating=5.391864776611328)]"
5614,"[Row(movie=557, rating=7.744850158691406), Row(movie=3382, rating=6.832309722900391), Row(movie=729, rating=6.322775840759277), Row(movie=1570, rating=6.250655174255371), Row(movie=310, rating=6.0067291259765625), Row(movie=3245, rating=5.6933183670043945), Row(movie=632, rating=5.677623748779297), Row(movie=3533, rating=5.645288944244385), Row(movie=2219, rating=5.5204081535339355), Row(movie=980, rating=5.365096092224121)]"
1025,"[Row(movie=1539, rating=11.130661010742188), Row(movie=2964, rating=9.651679039001465), Row(movie=1651, rating=9.375527381896973), Row(movie=310, rating=9.019001007080078), Row(movie=853, rating=8.96487808227539), Row(movie=1570, rating=8.497942924499512), Row(movie=3413, rating=8.407559394836426), Row(movie=1058, rating=8.354753494262695), Row(movie=1574, rating=8.288656234741211), Row(movie=1659, rating=8.250452995300293)]"
1395,"[Row(movie=557, rating=8.128681182861328), Row(movie=3382, rating=7.27821683883667), Row(movie=310, rating=6.454850196838379), Row(movie=729, rating=6.019918441772461), Row(movie=980, rating=5.736000061035156), Row(movie=1149, rating=5.576063632965088), Row(movie=1570, rating=5.486201763153076), Row(movie=3542, rating=5.397978782653809), Row(movie=3245, rating=5.37661075592041), Row(movie=3533, rating=5.348100185394287)]"
2235,"[Row(movie=2602, rating=14.019462585449219), Row(movie=1567, rating=11.2083158493042), Row(movie=2760, rating=10.758505821228027), Row(movie=2675, rating=10.45203685760498), Row(movie=37, rating=9.823875427246094), Row(movie=2984, rating=9.412839889526367), Row(movie=310, rating=9.202139854431152), Row(movie=776, rating=9.130176544189453), Row(movie=2127, rating=9.060569763183594), Row(movie=1930, rating=8.947845458984375)]"
3475,"[Row(movie=980, rating=10.96407699584961), Row(movie=2964, rating=8.968168258666992), Row(movie=3636, rating=8.474908828735352), Row(movie=729, rating=8.467864036560059), Row(movie=2760, rating=8.324810028076172), Row(movie=1570, rating=7.6152801513671875), Row(movie=2892, rating=6.943124771118164), Row(movie=1553, rating=6.905534744262695), Row(movie=3533, rating=6.468629837036133), Row(movie=3778, rating=6.373021125793457)]"
1896,"[Row(movie=2825, rating=7.257358551025391), Row(movie=557, rating=6.930253982543945), Row(movie=2562, rating=6.833307266235352), Row(movie=3382, rating=6.473427772521973), Row(movie=2705, rating=6.357241630554199), Row(movie=2760, rating=5.867018699645996), Row(movie=2129, rating=5.818901062011719), Row(movie=980, rating=5.765068054199219), Row(movie=2192, rating=5.746639251708984), Row(movie=1795, rating=5.718760967254639)]"
3226,"[Row(movie=2825, rating=8.497201919555664), Row(movie=557, rating=7.445606231689453), Row(movie=980, rating=7.265263557434082), Row(movie=2705, rating=7.090160369873047), Row(movie=3382, rating=6.805269718170166), Row(movie=1138, rating=6.4491753578186035), Row(movie=2673, rating=6.317257881164551), Row(movie=3533, rating=6.235743999481201), Row(movie=844, rating=6.208158493041992), Row(movie=2192, rating=6.142946243286133)]"
737,"[Row(movie=980, rating=7.692790508270264), Row(movie=2760, rating=6.754548072814941), Row(movie=310, rating=6.6364030838012695), Row(movie=557, rating=6.455544471740723), Row(movie=2705, rating=6.33611536026001), Row(movie=2964, rating=5.709373950958252), Row(movie=3382, rating=5.553747177124023), Row(movie=2673, rating=5.233870029449463), Row(movie=844, rating=5.053328990936279), Row(movie=2309, rating=4.986789703369141)]"
897,"[Row(movie=557, rating=7.056879997253418), Row(movie=1570, rating=6.7123823165893555), Row(movie=2209, rating=6.47865104675293), Row(movie=3382, rating=6.3545942306518555), Row(movie=3533, rating=6.217563152313232), Row(movie=632, rating=5.912276744842529), Row(movie=1864, rating=5.6975507736206055), Row(movie=1899, rating=5.669562816619873), Row(movie=2219, rating=5.653158187866211), Row(movie=3245, rating=5.54931640625)]"
1127,"[Row(movie=310, rating=8.961271286010742), Row(movie=2760, rating=8.321134567260742), Row(movie=557, rating=7.301557540893555), Row(movie=3382, rating=6.6393656730651855), Row(movie=106, rating=6.557671546936035), Row(movie=751, rating=6.456216812133789), Row(movie=2705, rating=6.074425220489502), Row(movie=2562, rating=5.972561359405518), Row(movie=2494, rating=5.851635932922363), Row(movie=2602, rating=5.843977928161621)]"
1507,"[Row(movie=557, rating=8.059162139892578), Row(movie=3382, rating=7.469605445861816), Row(movie=310, rating=6.898960113525391), Row(movie=2562, rating=6.769354343414307), Row(movie=2760, rating=6.197821617126465), Row(movie=1149, rating=5.673696517944336), Row(movie=1795, rating=5.647823333740234), Row(movie=666, rating=5.537501335144043), Row(movie=3542, rating=5.510875225067139), Row(movie=106, rating=5.432787895202637)]"
2387,"[Row(movie=310, rating=7.910490036010742), Row(movie=557, rating=6.961893081665039), Row(movie=3382, rating=6.2581634521484375), Row(movie=2209, rating=6.163026809692383), Row(movie=1864, rating=5.782862663269043), Row(movie=853, rating=5.743140697479248), Row(movie=1039, rating=5.708143711090088), Row(movie=1651, rating=5.694468975067139), Row(movie=1570, rating=5.439759254455566), Row(movie=2964, rating=5.3800201416015625)]"
858,"[Row(movie=2192, rating=8.752939224243164), Row(movie=3382, rating=8.296420097351074), Row(movie=557, rating=8.265427589416504), Row(movie=2765, rating=7.150673866271973), Row(movie=2800, rating=6.793982028961182), Row(movie=1138, rating=6.642282962799072), Row(movie=310, rating=6.637679100036621), Row(movie=2219, rating=6.59489107131958), Row(movie=2825, rating=6.584850311279297), Row(movie=2342, rating=6.348738193511963)]"
3698,"[Row(movie=980, rating=10.51721477508545), Row(movie=2760, rating=9.896141052246094), Row(movie=2964, rating=7.7389726638793945), Row(movie=3636, rating=6.924090385437012), Row(movie=2705, rating=6.897563457489014), Row(movie=310, rating=6.880252361297607), Row(movie=729, rating=6.453253269195557), Row(movie=557, rating=6.350642204284668), Row(movie=3215, rating=5.924526691436768), Row(movie=2999, rating=5.821009159088135)]"
4158,"[Row(movie=729, rating=9.079376220703125), Row(movie=1570, rating=9.05328369140625), Row(movie=3533, rating=8.890885353088379), Row(movie=2892, rating=8.63060474395752), Row(movie=2538, rating=8.527726173400879), Row(movie=3892, rating=8.516899108886719), Row(movie=1493, rating=7.981862545013428), Row(movie=1846, rating=7.967276096343994), Row(movie=1543, rating=7.706478118896484), Row(movie=97, rating=7.435761451721191)]"
2999,"[Row(movie=2562, rating=7.453370571136475), Row(movie=2192, rating=6.63394021987915), Row(movie=557, rating=6.588923454284668), Row(movie=3382, rating=6.5131072998046875), Row(movie=2825, rating=6.4941253662109375), Row(movie=2800, rating=5.941445350646973), Row(movie=2129, rating=5.598605632781982), Row(movie=583, rating=5.476858139038086), Row(movie=1795, rating=5.378390789031982), Row(movie=666, rating=5.296062469482422)]"
3179,"[Row(movie=980, rating=8.430514335632324), Row(movie=3533, rating=7.514754295349121), Row(movie=2825, rating=6.942918300628662), Row(movie=729, rating=6.86614990234375), Row(movie=557, rating=6.846602916717529), Row(movie=1570, rating=6.823752403259277), Row(movie=1138, rating=6.497256278991699), Row(movie=844, rating=6.392095565795898), Row(movie=3778, rating=6.381936073303223), Row(movie=567, rating=6.211258411407471)]"
4219,"[Row(movie=557, rating=7.82062292098999), Row(movie=3382, rating=7.377540588378906), Row(movie=310, rating=6.453852653503418), Row(movie=2209, rating=6.366983890533447), Row(movie=2219, rating=6.103366374969482), Row(movie=2192, rating=6.058506965637207), Row(movie=1138, rating=5.959897994995117), Row(movie=3533, rating=5.696977615356445), Row(movie=1039, rating=5.651115894317627), Row(movie=1570, rating=5.644752502441406)]"
4929,"[Row(movie=2562, rating=8.981480598449707), Row(movie=310, rating=8.528616905212402), Row(movie=3382, rating=7.909966945648193), Row(movie=557, rating=7.852725982666016), Row(movie=2765, rating=7.777142524719238), Row(movie=751, rating=7.669445991516113), Row(movie=3333, rating=7.32464075088501), Row(movie=106, rating=7.318524360656738), Row(movie=583, rating=7.196530342102051), Row(movie=1930, rating=7.0511932373046875)]"
540,"[Row(movie=980, rating=20.25277328491211), Row(movie=2964, rating=19.414287567138672), Row(movie=3636, rating=18.546417236328125), Row(movie=2892, rating=16.34371566772461), Row(movie=729, rating=16.032289505004883), Row(movie=1570, rating=14.095393180847168), Row(movie=2760, rating=13.790960311889648), Row(movie=1539, rating=13.787189483642578), Row(movie=566, rating=13.452091217041016), Row(movie=1058, rating=12.414546012878418)]"
1460,"[Row(movie=2892, rating=9.607525825500488), Row(movie=1539, rating=9.446438789367676), Row(movie=3413, rating=9.129975318908691), Row(movie=1636, rating=8.208600044250488), Row(movie=776, rating=8.143324851989746), Row(movie=729, rating=7.904997825622559), Row(movie=618, rating=7.815438270568848), Row(movie=37, rating=7.29265832901001), Row(movie=566, rating=7.258700370788574), Row(movie=1058, rating=7.226078033447266)]"
1990,"[Row(movie=1570, rating=9.101449966430664), Row(movie=729, rating=8.382878303527832), Row(movie=3533, rating=8.164830207824707), Row(movie=3892, rating=8.022634506225586), Row(movie=1539, rating=7.749141216278076), Row(movie=2964, rating=7.477535247802734), Row(movie=1493, rating=7.45464563369751), Row(movie=632, rating=7.318267822265625), Row(movie=2219, rating=7.059729099273682), Row(movie=557, rating=7.049839496612549)]"
2580,"[Row(movie=2892, rating=8.958978652954102), Row(movie=729, rating=8.836197853088379), Row(movie=3413, rating=8.321087837219238), Row(movie=1570, rating=8.095489501953125), Row(movie=1539, rating=8.035865783691406), Row(movie=3892, rating=7.868678092956543), Row(movie=1636, rating=7.8314528465271), Row(movie=2219, rating=7.778074264526367), Row(movie=1493, rating=7.466963768005371), Row(movie=557, rating=7.4297194480896)]"
4190,"[Row(movie=1539, rating=8.21368408203125), Row(movie=3413, rating=7.409035682678223), Row(movie=1570, rating=7.092093467712402), Row(movie=729, rating=7.067163467407227), Row(movie=776, rating=6.418156147003174), Row(movie=557, rating=6.344228744506836), Row(movie=1636, rating=6.289021015167236), Row(movie=1058, rating=6.107629776000977), Row(movie=2964, rating=6.089659690856934), Row(movie=632, rating=6.020009994506836)]"
1270,"[Row(movie=2562, rating=8.67265796661377), Row(movie=2825, rating=8.657333374023438), Row(movie=2192, rating=8.187960624694824), Row(movie=2129, rating=7.868236541748047), Row(movie=557, rating=7.385613441467285), Row(movie=3382, rating=7.040862083435059), Row(movie=1138, rating=6.814943313598633), Row(movie=2800, rating=6.782641410827637), Row(movie=1149, rating=6.531294822692871), Row(movie=1795, rating=6.481093883514404)]"
1650,"[Row(movie=310, rating=9.054354667663574), Row(movie=557, rating=6.974286079406738), Row(movie=3382, rating=6.4724040031433105), Row(movie=2760, rating=6.299522399902344), Row(movie=106, rating=5.949132442474365), Row(movie=751, rating=5.929473400115967), Row(movie=2602, rating=5.873233795166016), Row(movie=1519, rating=5.839478492736816), Row(movie=853, rating=5.613216400146484), Row(movie=1651, rating=5.5807600021362305)]"
