movie,recommendations
1959,"[Row(user=491, rating=5.776904582977295), Row(user=5297, rating=5.535472869873047), Row(user=207, rating=5.484285354614258), Row(user=2673, rating=5.423615455627441), Row(user=4244, rating=5.342872142791748), Row(user=5004, rating=5.3368635177612305), Row(user=5069, rating=5.32053279876709), Row(user=5758, rating=5.289797306060791), Row(user=599, rating=5.283478736877441), Row(user=217, rating=5.272097587585449)]"
2659,"[Row(user=4427, rating=5.354739189147949), Row(user=3235, rating=5.339918613433838), Row(user=5901, rating=5.309900760650635), Row(user=814, rating=5.073718547821045), Row(user=532, rating=5.057507038116455), Row(user=1341, rating=4.91947078704834), Row(user=2202, rating=4.905322551727295), Row(user=5529, rating=4.870521068572998), Row(user=5719, rating=4.814126491546631), Row(user=5298, rating=4.766929626464844)]"
3749,"[Row(user=491, rating=7.414852619171143), Row(user=599, rating=6.827523231506348), Row(user=1918, rating=6.719233512878418), Row(user=5004, rating=6.699306964874268), Row(user=1102, rating=6.55914831161499), Row(user=1416, rating=6.503628730773926), Row(user=468, rating=6.467736721038818), Row(user=2534, rating=6.403964042663574), Row(user=5758, rating=6.356930732727051), Row(user=2696, rating=6.3519606590271)]"
1721,"[Row(user=3902, rating=5.538466453552246), Row(user=2867, rating=5.470044136047363), Row(user=283, rating=5.370945930480957), Row(user=4801, rating=5.297789573669434), Row(user=527, rating=5.275531768798828), Row(user=2697, rating=5.240007400512695), Row(user=2364, rating=5.1755595207214355), Row(user=101, rating=5.157962322235107), Row(user=1856, rating=5.157463550567627), Row(user=2295, rating=5.100861549377441)]"
2811,"[Row(user=1341, rating=5.141557693481445), Row(user=283, rating=5.0102386474609375), Row(user=2867, rating=4.943180084228516), Row(user=2694, rating=4.922917366027832), Row(user=3296, rating=4.885503768920898), Row(user=1856, rating=4.844915866851807), Row(user=5137, rating=4.843788146972656), Row(user=2363, rating=4.842655181884766), Row(user=3856, rating=4.8031511306762695), Row(user=1171, rating=4.769534587860107)]"
243,"[Row(user=2560, rating=9.216309547424316), Row(user=540, rating=8.611268043518066), Row(user=4383, rating=8.585328102111816), Row(user=1813, rating=8.326861381530762), Row(user=4441, rating=8.282057762145996), Row(user=2202, rating=7.755664348602295), Row(user=491, rating=7.391353607177734), Row(user=5527, rating=7.231411457061768), Row(user=532, rating=7.126822471618652), Row(user=5325, rating=7.09205436706543)]"
623,"[Row(user=491, rating=6.187375545501709), Row(user=2673, rating=5.980768203735352), Row(user=4244, rating=5.724225997924805), Row(user=207, rating=5.7191033363342285), Row(user=5069, rating=5.676739692687988), Row(user=5297, rating=5.6735124588012695), Row(user=599, rating=5.631146430969238), Row(user=217, rating=5.541360855102539), Row(user=5758, rating=5.521480083465576), Row(user=2479, rating=5.514060020446777)]"
1483,"[Row(user=5810, rating=5.787875652313232), Row(user=527, rating=5.473265647888184), Row(user=5328, rating=5.439161777496338), Row(user=5297, rating=5.402498245239258), Row(user=5758, rating=5.310043811798096), Row(user=1102, rating=5.305751323699951), Row(user=5983, rating=5.267236232757568), Row(user=1213, rating=5.266386032104492), Row(user=5590, rating=5.262364864349365), Row(user=1095, rating=5.210934162139893)]"
2563,"[Row(user=283, rating=3.8080410957336426), Row(user=1341, rating=3.7898216247558594), Row(user=2867, rating=3.7749834060668945), Row(user=2694, rating=3.740838050842285), Row(user=3296, rating=3.713000535964966), Row(user=1856, rating=3.7011632919311523), Row(user=2363, rating=3.668613910675049), Row(user=5137, rating=3.6269097328186035), Row(user=3902, rating=3.625288963317871), Row(user=567, rating=3.6114463806152344)]"
1025,"[Row(user=283, rating=5.402462959289551), Row(user=5973, rating=5.282357692718506), Row(user=4143, rating=5.156276226043701), Row(user=527, rating=5.090463638305664), Row(user=2867, rating=5.08118200302124), Row(user=3902, rating=5.070586681365967), Row(user=3657, rating=5.051301002502441), Row(user=5072, rating=4.966054439544678), Row(user=101, rating=4.953408241271973), Row(user=3298, rating=4.914211273193359)]"
1395,"[Row(user=5810, rating=5.090571403503418), Row(user=2755, rating=4.861640930175781), Row(user=527, rating=4.844829082489014), Row(user=3657, rating=4.836087703704834), Row(user=3545, rating=4.721673011779785), Row(user=5758, rating=4.690662384033203), Row(user=239, rating=4.6220855712890625), Row(user=5983, rating=4.603423595428467), Row(user=4925, rating=4.5895161628723145), Row(user=1256, rating=4.583311557769775)]"
2235,"[Row(user=2867, rating=2.8816285133361816), Row(user=2441, rating=2.820955753326416), Row(user=2329, rating=2.757749080657959), Row(user=5400, rating=2.7205753326416016), Row(user=4201, rating=2.717097282409668), Row(user=5973, rating=2.7143101692199707), Row(user=210, rating=2.6714634895324707), Row(user=1171, rating=2.662097454071045), Row(user=3902, rating=2.6323869228363037), Row(user=3772, rating=2.6320714950561523)]"
3475,"[Row(user=2339, rating=5.352656364440918), Row(user=283, rating=5.350194454193115), Row(user=3296, rating=5.349701881408691), Row(user=1341, rating=5.342075824737549), Row(user=4175, rating=5.320530891418457), Row(user=5984, rating=5.236797332763672), Row(user=2694, rating=5.175302028656006), Row(user=2363, rating=5.174874305725098), Row(user=399, rating=5.171507835388184), Row(user=3787, rating=5.152073860168457)]"
737,"[Row(user=4143, rating=4.449629783630371), Row(user=527, rating=4.216647148132324), Row(user=101, rating=4.107503890991211), Row(user=898, rating=4.085300445556641), Row(user=3979, rating=4.0576372146606445), Row(user=4231, rating=4.052377223968506), Row(user=745, rating=4.0350494384765625), Row(user=2867, rating=4.026284217834473), Row(user=5973, rating=3.9982051849365234), Row(user=2732, rating=3.9616994857788086)]"
897,"[Row(user=1341, rating=5.057331085205078), Row(user=4175, rating=4.951421737670898), Row(user=283, rating=4.865575790405273), Row(user=5984, rating=4.815521240234375), Row(user=1557, rating=4.8138580322265625), Row(user=3296, rating=4.795278072357178), Row(user=3657, rating=4.776420593261719), Row(user=2640, rating=4.774378299713135), Row(user=784, rating=4.752441883087158), Row(user=597, rating=4.741628646850586)]"
1127,"[Row(user=2867, rating=5.090331077575684), Row(user=2441, rating=4.863752841949463), Row(user=283, rating=4.780213832855225), Row(user=5973, rating=4.7736945152282715), Row(user=1341, rating=4.7688140869140625), Row(user=1856, rating=4.7631025314331055), Row(user=210, rating=4.759182453155518), Row(user=3902, rating=4.755315780639648), Row(user=1171, rating=4.744697570800781), Row(user=2694, rating=4.724885940551758)]"
1507,"[Row(user=491, rating=6.5635881423950195), Row(user=4703, rating=6.545925140380859), Row(user=4383, rating=6.2204203605651855), Row(user=3787, rating=6.125551223754883), Row(user=5760, rating=6.098346710205078), Row(user=5141, rating=6.001211166381836), Row(user=2195, rating=5.941762924194336), Row(user=4028, rating=5.937144756317139), Row(user=89, rating=5.8903303146362305), Row(user=2339, rating=5.856146812438965)]"
2387,"[Row(user=2449, rating=6.367132663726807), Row(user=491, rating=6.019997596740723), Row(user=89, rating=5.974493980407715), Row(user=2534, rating=5.885631084442139), Row(user=5697, rating=5.763510704040527), Row(user=4145, rating=5.723275661468506), Row(user=3448, rating=5.632342338562012), Row(user=732, rating=5.604485034942627), Row(user=5141, rating=5.556650638580322), Row(user=708, rating=5.544888973236084)]"
2999,"[Row(user=4383, rating=9.301051139831543), Row(user=540, rating=9.057437896728516), Row(user=491, rating=8.825108528137207), Row(user=1813, rating=8.58694839477539), Row(user=4703, rating=8.57419204711914), Row(user=532, rating=8.529881477355957), Row(user=3235, rating=8.50837516784668), Row(user=4427, rating=8.387828826904297), Row(user=784, rating=8.281004905700684), Row(user=2202, rating=8.235868453979492)]"
3179,"[Row(user=2560, rating=4.890023708343506), Row(user=3235, rating=4.8144378662109375), Row(user=2640, rating=4.776997089385986), Row(user=4441, rating=4.752091884613037), Row(user=784, rating=4.749714374542236), Row(user=5122, rating=4.740011215209961), Row(user=532, rating=4.67200231552124), Row(user=144, rating=4.66583251953125), Row(user=283, rating=4.654693126678467), Row(user=5467, rating=4.649534225463867)]"
540,"[Row(user=5297, rating=5.000516891479492), Row(user=2364, rating=4.586853504180908), Row(user=1213, rating=4.565781593322754), Row(user=4549, rating=4.537931442260742), Row(user=283, rating=4.251394748687744), Row(user=5560, rating=4.236844539642334), Row(user=5188, rating=4.236062526702881), Row(user=484, rating=4.220056056976318), Row(user=89, rating=4.219264030456543), Row(user=2534, rating=4.21408224105835)]"
1460,"[Row(user=4676, rating=5.755169868469238), Row(user=3275, rating=5.454564571380615), Row(user=5810, rating=5.441996097564697), Row(user=4143, rating=5.440778732299805), Row(user=5590, rating=5.399876117706299), Row(user=5783, rating=5.369528293609619), Row(user=430, rating=5.15400505065918), Row(user=5973, rating=5.144503593444824), Row(user=745, rating=5.038882732391357), Row(user=1213, rating=5.024919509887695)]"
1990,"[Row(user=4228, rating=4.7768683433532715), Row(user=4145, rating=4.616979598999023), Row(user=3061, rating=4.591752052307129), Row(user=527, rating=4.504546165466309), Row(user=4583, rating=4.49619197845459), Row(user=2449, rating=4.482626914978027), Row(user=1102, rating=4.46209716796875), Row(user=5188, rating=4.312639236450195), Row(user=2364, rating=4.300501346588135), Row(user=2534, rating=4.246309757232666)]"
2580,"[Row(user=1341, rating=5.26248836517334), Row(user=283, rating=4.940657615661621), Row(user=3856, rating=4.882967948913574), Row(user=4175, rating=4.797531604766846), Row(user=597, rating=4.769615173339844), Row(user=3296, rating=4.769330978393555), Row(user=5137, rating=4.766024589538574), Row(user=4052, rating=4.7427568435668945), Row(user=2369, rating=4.737419128417969), Row(user=210, rating=4.727191925048828)]"
392,"[Row(user=4676, rating=7.0022382736206055), Row(user=5901, rating=6.811376094818115), Row(user=5783, rating=6.424776077270508), Row(user=430, rating=6.208503723144531), Row(user=1213, rating=6.1847147941589355), Row(user=4441, rating=6.086718559265137), Row(user=2443, rating=6.0629167556762695), Row(user=5810, rating=5.961837291717529), Row(user=5590, rating=5.939174175262451), Row(user=3275, rating=5.930492401123047)]"
1522,"[Row(user=1102, rating=11.788386344909668), Row(user=5297, rating=11.51991081237793), Row(user=1213, rating=10.826723098754883), Row(user=4244, rating=9.893488883972168), Row(user=5328, rating=9.827022552490234), Row(user=1095, rating=9.52733039855957), Row(user=2673, rating=9.494402885437012), Row(user=4441, rating=9.3931245803833), Row(user=5590, rating=9.252165794372559), Row(user=4676, rating=9.047638893127441)]"
1084,"[Row(user=2755, rating=5.682631492614746), Row(user=527, rating=5.449522972106934), Row(user=1459, rating=5.344636917114258), Row(user=239, rating=5.330018043518066), Row(user=4925, rating=5.321817398071289), Row(user=2694, rating=5.320682525634766), Row(user=5967, rating=5.317157745361328), Row(user=3657, rating=5.2984466552734375), Row(user=4589, rating=5.288972854614258), Row(user=5810, rating=5.27783203125)]"
1896,"[Row(user=1213, rating=6.048996448516846), Row(user=4676, rating=5.986185073852539), Row(user=5810, rating=5.971506118774414), Row(user=283, rating=5.934625148773193), Row(user=4143, rating=5.9269185066223145), Row(user=5590, rating=5.918154239654541), Row(user=527, rating=5.811654567718506), Row(user=5973, rating=5.720699310302734), Row(user=3657, rating=5.6364850997924805), Row(user=5783, rating=5.625558853149414)]"
858,"[Row(user=1341, rating=6.137712001800537), Row(user=2694, rating=5.869542121887207), Row(user=5672, rating=5.857818603515625), Row(user=5967, rating=5.8087921142578125), Row(user=1459, rating=5.745090484619141), Row(user=2434, rating=5.7307634353637695), Row(user=2755, rating=5.702392101287842), Row(user=1456, rating=5.680613040924072), Row(user=381, rating=5.662294387817383), Row(user=5407, rating=5.651020050048828)]"
3698,"[Row(user=2867, rating=5.16323184967041), Row(user=5400, rating=5.01625919342041), Row(user=2441, rating=4.970695972442627), Row(user=1157, rating=4.797089576721191), Row(user=5670, rating=4.663506507873535), Row(user=3448, rating=4.6191864013671875), Row(user=3902, rating=4.60595703125), Row(user=141, rating=4.598425388336182), Row(user=2735, rating=4.59290075302124), Row(user=5672, rating=4.585752964019775)]"
1270,"[Row(user=2867, rating=5.817085266113281), Row(user=5973, rating=5.558376312255859), Row(user=2441, rating=5.442447662353516), Row(user=3902, rating=5.3800458908081055), Row(user=283, rating=5.343902587890625), Row(user=4801, rating=5.305817604064941), Row(user=1171, rating=5.29188871383667), Row(user=5400, rating=5.273661136627197), Row(user=4201, rating=5.261480331420898), Row(user=2694, rating=5.253637313842773)]"
1650,"[Row(user=5297, rating=7.131133079528809), Row(user=491, rating=6.704615116119385), Row(user=1213, rating=6.415355205535889), Row(user=2673, rating=6.332448482513428), Row(user=4549, rating=6.2709641456604), Row(user=1416, rating=6.176785469055176), Row(user=4244, rating=6.167511463165283), Row(user=207, rating=6.143887042999268), Row(user=5303, rating=6.1009087562561035), Row(user=144, rating=6.067481994628906)]"
3000,"[Row(user=1341, rating=6.032686710357666), Row(user=3235, rating=6.029502868652344), Row(user=4427, rating=6.023672103881836), Row(user=814, rating=5.773341655731201), Row(user=2582, rating=5.758790016174316), Row(user=5529, rating=5.72741174697876), Row(user=532, rating=5.720396995544434), Row(user=640, rating=5.660574913024902), Row(user=168, rating=5.594635486602783), Row(user=3463, rating=5.581947326660156)]"
1322,"[Row(user=4228, rating=5.541772365570068), Row(user=527, rating=5.496123313903809), Row(user=1756, rating=5.178762912750244), Row(user=4583, rating=5.0526347160339355), Row(user=3061, rating=5.005336761474609), Row(user=5983, rating=4.838816165924072), Row(user=3902, rating=4.804177761077881), Row(user=46, rating=4.781308650970459), Row(user=4145, rating=4.7696099281311035), Row(user=2428, rating=4.741893291473389)]"
1352,"[Row(user=491, rating=4.407711029052734), Row(user=784, rating=4.206127166748047), Row(user=3787, rating=4.10699462890625), Row(user=4383, rating=4.064920425415039), Row(user=2981, rating=4.04828405380249), Row(user=4175, rating=3.978161334991455), Row(user=5467, rating=3.9756946563720703), Row(user=3039, rating=3.9455389976501465), Row(user=4713, rating=3.9373154640197754), Row(user=4986, rating=3.9342994689941406)]"
2572,"[Row(user=283, rating=5.371551036834717), Row(user=4441, rating=5.364449977874756), Row(user=5072, rating=5.282264709472656), Row(user=5122, rating=5.232522964477539), Row(user=1213, rating=5.226135730743408), Row(user=5297, rating=5.144197463989258), Row(user=2560, rating=5.1163811683654785), Row(user=2311, rating=5.074830532073975), Row(user=1319, rating=5.007030963897705), Row(user=3298, rating=4.9755120277404785)]"
3352,"[Row(user=491, rating=5.884687423706055), Row(user=4538, rating=5.699386119842529), Row(user=381, rating=5.425538063049316), Row(user=978, rating=5.273934364318848), Row(user=4383, rating=5.267360687255859), Row(user=1386, rating=5.236018180847168), Row(user=3570, rating=5.204453468322754), Row(user=784, rating=5.202270984649658), Row(user=345, rating=5.081812381744385), Row(user=3505, rating=5.069180965423584)]"
3704,"[Row(user=527, rating=4.6186442375183105), Row(user=2867, rating=4.588275909423828), Row(user=2755, rating=4.482141017913818), Row(user=3902, rating=4.37070894241333), Row(user=2694, rating=4.339271068572998), Row(user=1856, rating=4.302512168884277), Row(user=1157, rating=4.2183732986450195), Row(user=4801, rating=4.197742462158203), Row(user=5983, rating=4.18931770324707), Row(user=567, rating=4.18501615524292)]"
516,"[Row(user=101, rating=5.18522834777832), Row(user=4143, rating=5.171358108520508), Row(user=283, rating=5.142149448394775), Row(user=3902, rating=5.10935115814209), Row(user=527, rating=5.094310283660889), Row(user=5973, rating=5.020008563995361), Row(user=1213, rating=4.999507904052734), Row(user=5783, rating=4.981113910675049), Row(user=898, rating=4.970505237579346), Row(user=2364, rating=4.936487197875977)]"
2776,"[Row(user=1102, rating=10.338279724121094), Row(user=5297, rating=9.807356834411621), Row(user=1213, rating=9.287302017211914), Row(user=5328, rating=9.129742622375488), Row(user=1095, rating=8.816225051879883), Row(user=5590, rating=8.789739608764648), Row(user=5810, rating=8.78140640258789), Row(user=527, rating=8.778290748596191), Row(user=5758, rating=8.739898681640625), Row(user=423, rating=8.646090507507324)]"
2996,"[Row(user=5297, rating=7.196872711181641), Row(user=1213, rating=6.724115371704102), Row(user=1102, rating=6.255433559417725), Row(user=4549, rating=6.208981513977051), Row(user=283, rating=6.190049171447754), Row(user=2364, rating=6.114319801330566), Row(user=2534, rating=6.091537952423096), Row(user=5560, rating=6.0341973304748535), Row(user=379, rating=6.024724960327148), Row(user=527, rating=5.9990434646606445)]"
3488,"[Row(user=1102, rating=6.401965141296387), Row(user=527, rating=5.768083095550537), Row(user=5328, rating=5.477264881134033), Row(user=5810, rating=5.447609901428223), Row(user=5983, rating=5.427736282348633), Row(user=4228, rating=5.395569324493408), Row(user=423, rating=5.349363327026367), Row(user=5590, rating=5.255029201507568), Row(user=1756, rating=5.207022190093994), Row(user=5758, rating=5.079472064971924)]"
31,"[Row(user=2364, rating=5.93964147567749), Row(user=5297, rating=5.858121871948242), Row(user=4056, rating=5.8058061599731445), Row(user=4549, rating=5.732349872589111), Row(user=2618, rating=5.677061557769775), Row(user=5188, rating=5.6672492027282715), Row(user=484, rating=5.638352870941162), Row(user=2066, rating=5.610062122344971), Row(user=89, rating=5.5367751121521), Row(user=1310, rating=5.49354362487793)]"
2711,"[Row(user=4427, rating=8.232356071472168), Row(user=4703, rating=8.06978988647461), Row(user=3235, rating=7.789188861846924), Row(user=4462, rating=7.732764720916748), Row(user=532, rating=7.616310119628906), Row(user=168, rating=7.538354873657227), Row(user=5515, rating=7.502813816070557), Row(user=4028, rating=7.420736312866211), Row(user=540, rating=7.255858898162842), Row(user=2582, rating=7.005995750427246)]"
2821,"[Row(user=1341, rating=5.153073310852051), Row(user=283, rating=4.913354873657227), Row(user=2694, rating=4.860286235809326), Row(user=2867, rating=4.817368507385254), Row(user=3856, rating=4.7996392250061035), Row(user=5137, rating=4.763197422027588), Row(user=3296, rating=4.755826473236084), Row(user=597, rating=4.739086151123047), Row(user=2363, rating=4.722994804382324), Row(user=1856, rating=4.713038444519043)]"
3761,"[Row(user=491, rating=7.945577621459961), Row(user=2449, rating=7.945285320281982), Row(user=89, rating=7.255836009979248), Row(user=2534, rating=7.22354793548584), Row(user=3448, rating=7.092927932739258), Row(user=732, rating=7.00505256652832), Row(user=5697, rating=6.956241607666016), Row(user=5004, rating=6.860072612762451), Row(user=3373, rating=6.825397491455078), Row(user=2297, rating=6.819430828094482)]"
1303,"[Row(user=283, rating=5.476409435272217), Row(user=3657, rating=5.458780288696289), Row(user=2755, rating=5.436715126037598), Row(user=527, rating=5.30308723449707), Row(user=2339, rating=5.286143779754639), Row(user=2694, rating=5.283012390136719), Row(user=3296, rating=5.281430244445801), Row(user=1341, rating=5.255159378051758), Row(user=121, rating=5.221683502197266), Row(user=4175, rating=5.213495254516602)]"
1903,"[Row(user=5810, rating=10.028196334838867), Row(user=527, rating=9.756820678710938), Row(user=745, rating=9.56838607788086), Row(user=5590, rating=9.126917839050293), Row(user=5983, rating=8.707093238830566), Row(user=1102, rating=8.68418025970459), Row(user=1756, rating=8.663089752197266), Row(user=5328, rating=8.46139144897461), Row(user=4228, rating=8.312919616699219), Row(user=423, rating=8.256442070007324)]"
2393,"[Row(user=283, rating=5.065613269805908), Row(user=3902, rating=4.952021598815918), Row(user=2867, rating=4.849295139312744), Row(user=101, rating=4.756382942199707), Row(user=5973, rating=4.749955177307129), Row(user=4801, rating=4.743966102600098), Row(user=5072, rating=4.74375057220459), Row(user=2697, rating=4.702991485595703), Row(user=2364, rating=4.701098918914795), Row(user=5862, rating=4.6509294509887695)]"
3213,"[Row(user=2431, rating=5.167113304138184), Row(user=1341, rating=5.132079124450684), Row(user=607, rating=4.987356662750244), Row(user=2145, rating=4.981148719787598), Row(user=951, rating=4.950786113739014), Row(user=5218, rating=4.923079013824463), Row(user=882, rating=4.8658013343811035), Row(user=906, rating=4.864293098449707), Row(user=1975, rating=4.8473663330078125), Row(user=4630, rating=4.805761814117432)]"
1139,"[Row(user=1341, rating=5.564235687255859), Row(user=2694, rating=5.166231155395508), Row(user=3856, rating=5.108823299407959), Row(user=597, rating=5.049187660217285), Row(user=3657, rating=5.0437822341918945), Row(user=283, rating=5.035726070404053), Row(user=882, rating=5.014037609100342), Row(user=2755, rating=4.9788970947265625), Row(user=4052, rating=4.978315353393555), Row(user=4175, rating=4.968323707580566)]"
1339,"[Row(user=527, rating=5.543801784515381), Row(user=2867, rating=5.266547203063965), Row(user=4228, rating=5.153212547302246), Row(user=3902, rating=5.146088600158691), Row(user=2755, rating=5.136761665344238), Row(user=5983, rating=5.040699481964111), Row(user=1157, rating=4.950368881225586), Row(user=1856, rating=4.905961513519287), Row(user=4801, rating=4.900120735168457), Row(user=3448, rating=4.842822074890137)]"
